ID,Nombre,Categoría,Teléfono,WhatsApp_Estado,URL_Oficial_GitHubPages,URL_Alternativa_Surge,Dirección
"11_ADRIANOS_RESTAURANT","Adriano's Restaurant","Restaurante italiano & mediterráneo","+34 659 687 336","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/adrianos-restaurant/","https://adrianos-orihuela.surge.sh","Orihuela Costa, 03189 Alicante"
"12_CAFETERIA_LAS_MIMOSAS","Cafetería Las Mimosas","Cafetería, desayunos especiales & brunch","+34 711 025 355","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/cafeteria-las-mimosas/","https://cafeteria-lasmimosas.surge.sh","Urb. Los Almendros, 03189 Orihuela Costa, Alicante"
"13_FETTA_NERA","Fetta Nera","Restaurante italiano, tapas & cócteles","+34 711 036 725","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/fetta-nera/","https://fetta-nera.surge.sh","Playa Flamenca, 03189 Orihuela Costa, Alicante"
"14_STETIA_MEDICINA_ESTETICA","STETIA Medicina Estética","Medicina estética avanzada y rejuvenecimiento","+34 625 629 981","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/stetia-medicina-estetica/","https://stetia-orihuela.surge.sh","Calle Oriolanos Ausentes s/n, 03300 Orihuela, Alicante"
"15_CLINICA_DENTAL_CASTILLO","Clínica Dental Castillo","Clínica dental, implantes y ortodoncia","+34 680 120 971","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/clinica-dental-castillo/","https://dental-castillo.surge.sh","Orihuela Centro, 03300 Alicante"
"16_CLINICA_DENTAL_ARTEDENT","Clínica Dental Artedent","Odontología y estética dental","+34 650 207 127","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/clinica-dental-artedent/","https://artedent-orihuela.surge.sh","Orihuela, 03300 Alicante"
"17_FISIOCEN_ORIHUELA","Fisiocen Orihuela","Fisioterapia, osteopatía y rehabilitación","+34 626 003 907","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/fisiocen-orihuela/","https://fisiocen-orihuela.surge.sh","Orihuela, 03300 Alicante"
"18_CLINICA_SANANDA","Clínica Sananda","Centro de fisioterapia y bienestar integral","+34 606 674 900","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/clinica-sananda/","https://clinica-sananda.surge.sh","Orihuela, 03300 Alicante"
"19_TALLERES_VEGADIESEL","Talleres Vegadiesel Castrol Service","Taller mecánico, pre-ITV y mantenimiento oficial Castrol","+34 600 476 896","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/talleres-vegadiesel/","https://talleres-vegadiesel.surge.sh","Ctra. Orihuela-Almoradí, 56 (Barrio Los Huertos), 03300 Orihuela, Alicante"
"20_FONTANERIA_BORJA","Fontanería Borja","Fontanería urgente, instalaciones y calefacción","+34 661 252 447","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/fontaneria-borja/","https://fontaneria-borja.surge.sh","Orihuela y Orihuela Costa, Alicante"
